Postal Code,Name,Poverty,Covid
AL,Alabama,814197.00,83782.00
AK,Alaska,71916.00,2729.00
AZ,Arizona,1107153.00,168273.00
AR,Arkansas,497388.00,40181.00
CA,California,5527621.00,474819.00
CO,Colorado,598378.00,45314.00
CT,Connecticut,342171.00,49077.00
DE,Delaware,109592.00,14602.00
DC,District of Columbia,119778.00,11999.00
FL,Florida,2986237.00,451423.00
GA,Georgia,1612368.00,175052.00
HI,Hawaii,132597.00,1757.00
ID,Idaho,228037.00,19222.00
IL,Illinois,1620974.00,176366.00
IN,Indiana,899168.00,64299.00
IA,Iowa,354429.00,43243.00
KS,Kansas,343773.00,26447.00
KY,Kentucky,782779.00,28126.00
LA,Louisiana,911970.00,112773.00
ME,Maine,159523.00,3866.00
MD,Maryland,572786.00,86285.00
MA,Massachusetts,688366.00,116182.00
MI,Michigan,1449683.00,87958.00
MN,Minnesota,531789.00,52947.00
MS,Mississippi,606873.00,55804.00
MO,Missouri,826358.00,46105.00
MT,Montana,136439.00,3676.00
NE,Nebraska,208864.00,25157.00
NV,Nevada,407308.00,45806.00
NH,New Hampshire,97753.00,6500.00
NJ,New Jersey,915390.00,186543.00
NM,New Mexico,390461.00,19791.00
NY,New York,2843954.00,441866.00
NC,North Carolina,1523034.00,117850.00
ND,North Dakota,76951.00,6227.00
OH,Ohio,1639636.00,87893.00
OK,Oklahoma,615050.00,34623.00
OR,Oregon,538169.00,17416.00
PA,Pennsylvania,1589584.00,114521.00
RI,Rhode Island,134683.00,18800.00
SC,South Carolina,739574.00,85846.00
SD,South Dakota,107953.00,8492.00
TN,Tennessee,1023825.00,99044.00
TX,Texas,4261291.00,414877.00
UT,Utah,307270.00,38855.00
VT,Vermont,67825.00,1406.00
VA,Virginia,897244.00,87993.00
WA,Washington,808582.00,55824.00
WV,West Virginia,318368.00,6269.00
WI,Wisconsin,661465.00,50179.00
WY,Wyoming,62416.00,2589.00